2024-08-13 06:12:24 - Opened short position at 58622.0, TP: 58529.57866666667, SL: 59230.0110255719
2024-08-13 06:12:25 - Opened short position at 58622.0, TP: 58529.57866666667, SL: 59230.0110255719
2024-08-13 06:12:25 - Opened short position at 58622.0, TP: 58529.57866666667, SL: 59230.0110255719
2024-08-13 06:12:26 - Opened short position at 58622.0, TP: 58529.57866666667, SL: 59230.0110255719
2024-08-13 06:12:27 - Opened short position at 58626.0, TP: 58533.576, SL: 59234.0110255719
2024-08-13 06:12:52 - Opened short position at 58662.8, TP: 58570.351466666674, SL: 59270.8110255719
2024-08-13 06:12:52 - Opened short position at 58662.8, TP: 58570.351466666674, SL: 59270.8110255719
2024-08-13 06:12:53 - Opened short position at 58654.3, TP: 58561.85713333334, SL: 59262.3110255719
2024-08-13 06:12:54 - Opened short position at 58654.2, TP: 58561.7572, SL: 59262.211025571894
2024-08-13 06:12:54 - Opened short position at 58654.3, TP: 58561.85713333334, SL: 59262.3110255719
2024-08-13 06:12:55 - Opened short position at 58654.3, TP: 58561.85713333334, SL: 59262.3110255719
2024-08-13 06:12:56 - Opened short position at 58654.2, TP: 58561.7572, SL: 59262.211025571894
2024-08-13 06:12:57 - Opened short position at 58654.3, TP: 58561.85713333334, SL: 59262.3110255719
2024-08-13 06:12:57 - Opened short position at 58654.3, TP: 58561.85713333334, SL: 59262.3110255719
2024-08-13 06:12:58 - Opened short position at 58658.1, TP: 58565.6546, SL: 59266.111025571896
2024-08-13 06:13:44 - Opened short position at 58734.5, TP: 58683.16366666667, SL: 59342.5110255719
2024-08-13 06:13:45 - Opened short position at 58734.5, TP: 58670.98366666667, SL: 59342.5110255719
2024-08-13 06:13:45 - Opened short position at 58730.3, TP: 58666.78646666667, SL: 59338.3110255719
2024-08-13 06:13:46 - Opened short position at 58725.8, TP: 58662.28946666667, SL: 59333.8110255719
2024-08-13 06:13:47 - Opened short position at 58730.0, TP: 58666.486666666664, SL: 59338.0110255719
2024-08-13 06:13:47 - Opened short position at 58729.9, TP: 58666.38673333333, SL: 59337.9110255719
2024-08-13 06:13:48 - Opened short position at 58725.7, TP: 58662.18953333333, SL: 59333.711025571894
2024-08-13 06:13:49 - Opened short position at 58725.6, TP: 58662.0896, SL: 59333.611025571896
2024-08-13 06:13:49 - Opened short position at 58725.4, TP: 58661.88973333334, SL: 59333.4110255719
2024-08-13 06:13:50 - Opened short position at 58721.1, TP: 58657.592599999996, SL: 59329.111025571896
2024-08-13 06:13:50 - Opened short position at 58721.0, TP: 58657.492666666665, SL: 59329.0110255719
2024-08-13 06:13:51 - Opened short position at 58713.5, TP: 58649.99766666666, SL: 59321.5110255719
2024-08-13 06:13:52 - Opened short position at 58716.1, TP: 58652.59593333333, SL: 59324.111025571896
2024-08-13 06:13:52 - Opened short position at 58716.0, TP: 58652.496, SL: 59324.0110255719
2024-08-13 06:13:53 - Opened short position at 58716.1, TP: 58652.59593333333, SL: 59324.111025571896
2024-08-13 06:13:54 - Opened short position at 58716.0, TP: 58652.496, SL: 59324.0110255719
2024-08-13 06:13:54 - Opened short position at 58709.1, TP: 58645.6006, SL: 59317.111025571896
2024-08-13 06:13:55 - Opened short position at 58709.0, TP: 58645.50066666667, SL: 59317.0110255719
2024-08-13 06:13:56 - Opened short position at 58709.0, TP: 58645.50066666667, SL: 59317.0110255719
2024-08-13 06:13:56 - Opened short position at 58709.0, TP: 58645.50066666667, SL: 59317.0110255719
2024-08-13 06:13:57 - Opened short position at 58709.1, TP: 58645.6006, SL: 59317.111025571896
2024-08-13 06:13:58 - Opened short position at 58709.0, TP: 58645.50066666667, SL: 59317.0110255719
2024-08-13 06:13:58 - Opened short position at 58709.1, TP: 58645.6006, SL: 59317.111025571896
2024-08-13 06:13:59 - Opened short position at 58709.1, TP: 58645.6006, SL: 59317.111025571896
2024-08-13 06:13:59 - Opened short position at 58709.1, TP: 58645.6006, SL: 59317.111025571896
2024-08-13 06:14:00 - Opened short position at 58709.0, TP: 58645.50066666667, SL: 59317.0110255719
2024-08-13 06:14:01 - Opened short position at 58709.0, TP: 58645.50066666667, SL: 59317.0110255719
2024-08-13 06:14:01 - Opened short position at 58709.1, TP: 58645.6006, SL: 59317.111025571896
2024-08-13 06:14:02 - Opened short position at 58709.1, TP: 58645.6006, SL: 59317.111025571896
2024-08-13 06:14:02 - Opened short position at 58709.1, TP: 58645.6006, SL: 59317.111025571896
2024-08-13 06:14:03 - Opened short position at 58709.0, TP: 58645.50066666667, SL: 59317.0110255719
2024-08-13 06:14:04 - Opened short position at 58704.6, TP: 58641.103599999995, SL: 59312.611025571896
2024-08-13 06:14:04 - Opened short position at 58700.1, TP: 58636.6066, SL: 59308.111025571896
2024-08-13 06:14:05 - Opened short position at 58711.9, TP: 58648.398733333335, SL: 59319.9110255719
2024-08-13 06:14:06 - Opened short position at 58712.0, TP: 58648.49866666667, SL: 59320.0110255719
2024-08-13 06:14:06 - Opened short position at 58711.9, TP: 58648.398733333335, SL: 59319.9110255719
2024-08-13 06:14:07 - Opened short position at 58711.9, TP: 58648.398733333335, SL: 59319.9110255719
2024-08-13 06:14:08 - Opened short position at 58712.0, TP: 58648.49866666667, SL: 59320.0110255719
